sep=|
Title|Author|Year|Category|Genre|ID|Status|Date Added|Borrower Name|Date Borrowed|Due Date
The Song of Achilles|Khaled Hosseini|1941|Non-Fiction|TrueCrime|268|0|2025-08-03|Edward Norton|2026-05-12|2026-05-19
A Tale of Two Cities|Aldous Huxley|1939|Non-Fiction|Technology|269|1|2025-11-27|||
The Da Vinci Code|Dan Brown|2004|Fiction|Romance|270|1|2025-11-21|||
Dune|Lucy Foley|1903|Non-Fiction|Philosophy|271|1|2025-12-15|||
The Martian|Daniel Kahneman|1903|Non-Fiction|Education|272|1|2026-05-10|||
The Silent Patient|Ursula K Le Guin|2016|Fiction|Drama|273|1|2025-06-26|||
Dune|Markus Zusak|1957|Fiction|Fantasy|274|0|2026-04-26|George Costanza|2026-05-12|2026-05-19
A Farewell to Arms|JD Salinger|1955|Fiction|Dystopian|275|0|2025-08-31|Alice Smith|2026-05-12|2026-05-19
The Road|Walter Isaacson|1966|Fiction|Other|276|1|2025-05-23|||
Quiet|Herman Melville|2020|Non-Fiction|Politics|277|0|2026-01-02|Charlie Brown|2026-04-22|2026-04-29
The Song of Achilles|Patrick Rothfuss|1926|Non-Fiction|History|278|0|2025-09-13|Alice Smith|2026-04-22|2026-04-29
The Song of Achilles|F. Scott Fitzgerald|1963|Fiction|Mystery|279|0|2025-08-18|Alice Smith|2026-05-12|2026-05-19
The Catcher in the Rye|Stieg Larsson|2007|Fiction|Romance|280|0|2026-02-07|George Costanza|2026-05-12|2026-05-19
The Silent Patient|Lucy Foley|1990|Fiction|Mystery|281|0|2025-07-28|Alice Smith|2026-05-12|2026-05-19
Quiet|Andy Weir|1907|Non-Fiction|Psychology|282|1|2025-09-22|||
The Chronicles of Narnia|Alex Michaelides|1985|Non-Fiction|History|283|1|2026-02-20|||
Conversations with Friends|Emily Bronte|1914|Non-Fiction|Science|284|1|2026-03-06|||
Stardust|Homer|2014|Fiction|Adventure|285|0|2025-06-04|George Costanza|2026-05-12|2026-05-19
The Girl with the Dragon Tattoo|Richard Powers|2006|Fiction|Adventure|286|1|2025-11-20|||
Wuthering Heights|Sally Rooney|2014|Non-Fiction|Other|287|1|2025-06-10|||
Inferno|Herman Melville|1939|Non-Fiction|Philosophy|288|1|2025-09-04|||
Angels and Demons|Richard Powers|1993|Fiction|YoungAdult|289|1|2026-02-26|||
Anna Karenina|Patrick Rothfuss|1939|Fiction|SliceOfLife|290|0|2025-05-30|George Costanza|2026-04-22|2026-04-29
American Gods|Tara Westover|1991|Non-Fiction|Health|291|0|2026-03-03|Edward Norton|2026-04-22|2026-04-29
The Grapes of Wrath|George RR Martin|1923|Fiction|YoungAdult|292|0|2025-10-04|Diana Prince|2026-05-12|2026-05-19
The Starless Sea|JRR Tolkien|2010|Non-Fiction|Health|293|0|2025-05-16|Bob Jones|2026-04-22|2026-04-29
The Goldfinch|Herman Melville|1975|Non-Fiction|Religion|294|0|2026-01-04|Alice Smith|2026-05-12|2026-05-19
Normal People|Ray Bradbury|1932|Non-Fiction|Health|295|1|2025-09-07|||
The Da Vinci Code|F. Scott Fitzgerald|1989|Fiction|Horror|296|0|2025-12-12|Fiona Gallagher|2026-05-12|2026-05-19
The Martian|George Orwell|1950|Non-Fiction|Economics|297|1|2025-06-10|||
Stardust|Emily Bronte|1979|Fiction|SciFi|298|1|2025-10-22|||
The Lord of the Rings|Daniel Kahneman|2014|Fiction|Other|299|1|2026-01-07|||
The Martian|Delia Owens|1995|Non-Fiction|Science|300|1|2026-04-16|||
Thinking Fast and Slow|Yann Martel|1971|Fiction|Mystery|301|1|2025-05-26|||
1984|Margaret Atwood|2018|Fiction|Romance|302|0|2025-06-26|Edward Norton|2026-05-12|2026-05-19
Thinking Fast and Slow|Lucy Foley|1917|Fiction|Crime|303|1|2025-12-11|||
The Old Man and the Sea|Harper Lee|2002|Fiction|Dystopian|304|1|2025-07-29|||
Anna Karenina|Jane Austen|2015|Fiction|Horror|305|1|2026-01-17|||
Anna Karenina|Lucy Foley|1986|Fiction|Action|306|0|2026-03-08|Alice Smith|2026-05-12|2026-05-19
Educated|Aldous Huxley|1957|Fiction|Dystopian|307|1|2025-07-30|||
The Poisonwood Bible|Liane Moriarty|1940|Non-Fiction|Memoir|308|1|2025-06-20|||
Origin|Charles Dickens|2017|Non-Fiction|Technology|309|1|2025-10-01|||
The Sirens of Titan|Stieg Larsson|1931|Non-Fiction|Psychology|310|1|2026-04-02|||
Angels and Demons|F. Scott Fitzgerald|1988|Non-Fiction|Biography|311|0|2026-04-07|Alice Smith|2026-05-12|2026-05-19
Alias Grace|Carl Sagan|2009|Non-Fiction|Memoir|312|0|2026-03-11|Fiona Gallagher|2026-05-12|2026-05-19
The Martian|Isaac Asimov|1948|Non-Fiction|Travel|313|1|2025-09-06|||
The Gene|Madeline Miller|1936|Non-Fiction|History|314|1|2025-10-10|||
The Poisonwood Bible|Emily Bronte|1907|Non-Fiction|Religion|315|0|2026-01-10|Charlie Brown|2026-05-12|2026-05-19
The Glass Castle|Dan Brown|1910|Non-Fiction|Travel|316|1|2025-12-24|||
The Starless Sea|Yann Martel|2015|Fiction|Thriller|317|1|2025-07-10|||
Sapiens|Ursula K Le Guin|1906|Non-Fiction|Science|318|1|2025-08-23|||
Brave New World|Tara Westover|1977|Non-Fiction|Psychology|319|1|2025-08-25|||
Gone Girl|Emily Bronte|1985|Fiction|HistoricalFiction|320|1|2026-02-07|||
The Odyssey|Charles Dickens|1908|Non-Fiction|Autobiography|321|1|2026-02-01|||
The Kite Runner|Hanya Yanagihara|2006|Fiction|HistoricalFiction|322|1|2025-10-13|||
Wuthering Heights|Margaret Atwood|1965|Fiction|Thriller|323|0|2025-06-16|Edward Norton|2026-05-12|2026-05-19
Malibu Rising|Delia Owens|1937|Non-Fiction|Philosophy|324|1|2026-04-26|||
The Lost Symbol|Liane Moriarty|2019|Non-Fiction|Politics|325|1|2025-11-16|||
Good Omens|George Orwell|1912|Fiction|Adventure|326|0|2025-08-26|George Costanza|2026-05-12|2026-05-19
The Great Gatsby|Homer|2003|Non-Fiction|Memoir|327|0|2025-06-09|Edward Norton|2026-05-12|2026-05-19
Elon Musk|James Clear|1972|Non-Fiction|Other|328|1|2025-07-27|||
The Girl with the Dragon Tattoo|Taylor Jenkins Reid|1983|Non-Fiction|Technology|329|0|2026-01-20|Fiona Gallagher|2026-05-12|2026-05-19
The Name of the Wind|George RR Martin|1950|Non-Fiction|Biography|330|0|2026-01-13|Bob Jones|2026-05-12|2026-05-19
The Gene|George RR Martin|1985|Non-Fiction|Health|331|1|2026-03-03|||
A Game of Thrones|Jane Austen|1986|Fiction|Horror|332|1|2025-12-03|||
Animal Farm|Walter Isaacson|2022|Non-Fiction|Memoir|333|1|2026-02-03|||
Sapiens|Homer|1911|Fiction|Drama|334|0|2025-12-03|Charlie Brown|2026-04-22|2026-04-29
Circe|Fyodor Dostoevsky|1955|Fiction|Dystopian|335|0|2026-04-02|Edward Norton|2026-04-22|2026-04-29
Moby Dick|Fyodor Dostoevsky|1936|Fiction|Romance|336|1|2026-02-21|||
Slaughterhouse-Five|Paulo Coelho|2017|Non-Fiction|Education|337|1|2026-04-04|||
Alias Grace|Daniel Kahneman|1917|Fiction|Crime|338|1|2026-02-08|||
Jane Eyre|Aldous Huxley|1906|Fiction|Adventure|339|0|2025-06-08|Diana Prince|2026-05-12|2026-05-19
The Lost Symbol|Brandon Sanderson|1903|Fiction|Other|340|0|2025-08-26|Fiona Gallagher|2026-05-12|2026-05-19
Quiet|JD Salinger|1906|Fiction|Thriller|341|1|2025-09-24|||
Neverwhere|Gillian Flynn|1918|Fiction|HistoricalFiction|342|0|2026-02-01|Fiona Gallagher|2026-05-12|2026-05-19
The Odyssey|Homer|2018|Non-Fiction|Philosophy|343|1|2026-02-14|||
The Catcher in the Rye|Antoine de Saint-Exupery|1973|Non-Fiction|Religion|344|1|2025-07-19|||
Dune|Antoine de Saint-Exupery|1946|Non-Fiction|Education|345|0|2026-03-27|Edward Norton|2026-05-12|2026-05-19
The Catcher in the Rye|Yann Martel|1949|Fiction|Thriller|346|1|2026-05-01|||
The Chronicles of Narnia|F. Scott Fitzgerald|2006|Fiction|Thriller|347|1|2025-11-03|||
Neverwhere|Markus Zusak|2008|Fiction|YoungAdult|348|0|2025-05-20|Edward Norton|2026-05-12|2026-05-19
The Da Vinci Code|Harper Lee|1969|Non-Fiction|Autobiography|349|0|2026-01-29|Edward Norton|2026-05-12|2026-05-19
The Grapes of Wrath|Sally Rooney|1979|Non-Fiction|Economics|350|0|2026-04-01|Charlie Brown|2026-05-12|2026-05-19
Oryx and Crake|Daniel Kahneman|1924|Fiction|Dystopian|351|1|2025-12-14|||
The Way of Kings|Kurt Vonnegut|1977|Non-Fiction|Education|352|0|2025-07-28|Alice Smith|2026-05-12|2026-05-19
The Overstory|CS Lewis|1976|Fiction|SciFi|353|1|2025-12-24|||
Animal Farm|Margaret Atwood|1972|Non-Fiction|TrueCrime|354|0|2025-10-12|Bob Jones|2026-05-12|2026-05-19
The Great Gatsby|JRR Tolkien|1954|Fiction|YoungAdult|355|1|2025-11-29|||
Conversations with Friends|George RR Martin|1944|Non-Fiction|Politics|356|0|2026-04-07|George Costanza|2026-05-12|2026-05-19
The Kite Runner|Erin Morgenstern|2012|Fiction|Romance|357|1|2025-07-11|||
Cats Cradle|Liane Moriarty|1945|Fiction|Romance|358|1|2025-10-22|||
The Handmaids Tale|Leo Tolstoy|1929|Fiction|Drama|359|1|2025-07-08|||
The Maidens|Tara Westover|1990|Non-Fiction|Travel|360|0|2026-03-13|Alice Smith|2026-05-12|2026-05-19
A Game of Thrones|Daniel Kahneman|1999|Fiction|Thriller|361|1|2026-02-08|||
Sharp Objects|Alex Michaelides|2014|Fiction|Thriller|362|1|2025-10-11|||
Oryx and Crake|Ursula K Le Guin|2005|Fiction|Other|363|0|2025-05-12|Diana Prince|2026-05-12|2026-05-19
Malibu Rising|Yann Martel|2018|Non-Fiction|Autobiography|364|0|2025-07-01|Diana Prince|2026-05-12|2026-05-19
The Silent Patient|Antoine de Saint-Exupery|1944|Fiction|SciFi|365|1|2025-10-03|||
Dune|Madeline Miller|1912|Non-Fiction|Politics|366|1|2026-01-01|||
Life of Pi|Kurt Vonnegut|1962|Non-Fiction|Politics|367|1|2025-05-14|||
The Poisonwood Bible|George Orwell|1937|Non-Fiction|Science|368|1|2025-08-28|||
Foundation|Joe Abercrombie|2015|Fiction|SciFi|369|0|2026-04-07|Bob Jones|2026-05-12|2026-05-19
The Silent Patient|Yuval Noah Harari|1945|Fiction|Romance|370|1|2025-06-24|||
Oryx and Crake|Gillian Flynn|1993|Fiction|Dystopian|371|1|2025-10-02|||
Gone Girl|Daniel Kahneman|2007|Non-Fiction|Memoir|372|1|2025-12-04|||
The Catcher in the Rye|Charlotte Bronte|1995|Non-Fiction|Health|373|0|2025-06-17|Diana Prince|2026-05-12|2026-05-19
The Secret History|F. Scott Fitzgerald|1916|Non-Fiction|Religion|374|1|2026-01-09|||
Malibu Rising|Frank Herbert|1942|Fiction|Crime|375|1|2025-09-28|||
Gone Girl|Lucy Foley|1903|Fiction|Dystopian|376|1|2026-04-14|||
Gone Girl|Taylor Jenkins Reid|1949|Non-Fiction|TrueCrime|377|1|2026-04-18|||
Fahrenheit 451|Hanya Yanagihara|1930|Non-Fiction|Economics|378|1|2025-08-15|||
The Silent Patient|Ernest Hemingway|2018|Non-Fiction|Biography|379|1|2026-04-29|||
The Girl with the Dragon Tattoo|Alex Michaelides|1923|Fiction|Fantasy|380|0|2026-05-04|George Costanza|2026-05-12|2026-05-19
The Blind Assassin|Homer|1933|Non-Fiction|Economics|381|1|2025-08-19|||
The Way of Kings|Markus Zusak|2023|Non-Fiction|Religion|382|1|2026-03-22|||
The Silent Patient|Aldous Huxley|1934|Non-Fiction|Other|383|1|2025-09-08|||
The Lost Symbol|Neil Gaiman|1920|Fiction|SciFi|384|1|2026-02-09|||
Angels and Demons|Patrick Rothfuss|1949|Fiction|Crime|385|1|2025-10-22|||
Oryx and Crake|Harper Lee|1933|Fiction|Other|386|1|2026-02-02|||
The Overstory|Margaret Atwood|2015|Non-Fiction|History|387|1|2026-05-12|||
Inferno|James Clear|1976|Fiction|SliceOfLife|388|1|2025-09-20|||
Where the Crawdads Sing|Harper Lee|1913|Fiction|YoungAdult|389|1|2026-05-05|||
Stardust|Liane Moriarty|1946|Fiction|Mystery|390|0|2025-10-14|Diana Prince|2026-05-12|2026-05-19
The Paris Apartment|Sally Rooney|1974|Non-Fiction|Philosophy|391|1|2026-05-02|||
The Grapes of Wrath|Ursula K Le Guin|1937|Fiction|Romance|392|1|2025-11-20|||
Thinking Fast and Slow|Leo Tolstoy|1956|Fiction|YoungAdult|393|1|2025-07-20|||
The Road|Charles Dickens|2017|Fiction|YoungAdult|394|1|2025-07-17|||
The Kite Runner|George Orwell|2010|Non-Fiction|Psychology|395|1|2025-11-06|||
The Catcher in the Rye|George Orwell|1914|Non-Fiction|History|396|1|2025-11-09|||
Alias Grace|Patrick Rothfuss|1912|Fiction|Mystery|397|0|2025-07-16|Diana Prince|2026-04-22|2026-04-29
The Poisonwood Bible|Fyodor Dostoevsky|2015|Non-Fiction|TrueCrime|398|1|2026-01-06|||
The Chronicles of Narnia|Homer|1955|Fiction|SliceOfLife|399|0|2026-04-13|Alice Smith|2026-05-12|2026-05-19
Malibu Rising|Khaled Hosseini|2019|Fiction|Adventure|400|0|2025-07-28|Fiona Gallagher|2026-05-12|2026-05-19
Gone Girl|Hanya Yanagihara|1942|Fiction|SciFi|401|0|2025-06-27|Charlie Brown|2026-05-12|2026-05-19
The Chronicles of Narnia|Donna Tartt|1910|Fiction|Adventure|402|1|2026-04-02|||
Anna Karenina|Harper Lee|1951|Fiction|YoungAdult|403|1|2025-05-12|||
The Maidens|Paulo Coelho|1944|Non-Fiction|Religion|404|1|2026-01-29|||
The Sun Also Rises|Erin Morgenstern|1919|Non-Fiction|Economics|405|1|2026-04-05|||
Gone Girl|Walter Isaacson|1968|Non-Fiction|Technology|406|0|2026-05-07|Edward Norton|2026-05-12|2026-05-19
Steve Jobs|Fyodor Dostoevsky|1989|Fiction|YoungAdult|407|1|2025-08-17|||
Jane Eyre|Antoine de Saint-Exupery|1953|Fiction|Action|408|0|2025-10-13|Charlie Brown|2026-05-12|2026-05-19
The Hobbit|Brandon Sanderson|1930|Fiction|SliceOfLife|409|1|2025-10-03|||
Alias Grace|Stieg Larsson|1933|Fiction|Drama|410|1|2025-11-27|||
The Blind Assassin|Madeline Miller|1953|Non-Fiction|Travel|411|1|2026-02-06|||
The Maidens|Madeline Miller|1966|Fiction|Dystopian|412|0|2025-07-31|Fiona Gallagher|2026-05-12|2026-05-19
The Blade Itself|Hanya Yanagihara|1917|Non-Fiction|Travel|413|1|2025-08-23|||
Jane Eyre|Lucy Foley|1965|Non-Fiction|Other|414|1|2026-01-25|||
The Maidens|JRR Tolkien|1917|Fiction|Romance|415|0|2025-10-27|George Costanza|2026-04-22|2026-04-29
Great Expectations|Brandon Sanderson|2024|Fiction|Dystopian|416|0|2025-09-21|Edward Norton|2026-05-12|2026-05-19
The Catcher in the Rye|Neil Gaiman|1922|Fiction|Crime|417|0|2025-09-13|Alice Smith|2026-05-12|2026-05-19
The Way of Kings|Dan Brown|2005|Non-Fiction|Education|418|1|2025-06-29|||
The Little Prince|JRR Tolkien|1960|Fiction|SliceOfLife|419|1|2025-11-23|||
Stardust|Charlotte Bronte|2005|Fiction|HistoricalFiction|420|1|2025-10-14|||
Jane Eyre|Tara Westover|1911|Non-Fiction|Memoir|421|0|2025-10-15|Diana Prince|2026-05-12|2026-05-19
The Seven Husbands of Evelyn Hugo|Leo Tolstoy|1904|Non-Fiction|TrueCrime|422|0|2025-07-02|Alice Smith|2026-05-12|2026-05-19
Oryx and Crake|Alex Michaelides|2022|Non-Fiction|Religion|423|1|2025-07-02|||
Quiet|Erin Morgenstern|1979|Fiction|Other|424|0|2026-02-13|Bob Jones|2026-04-22|2026-04-29
Jane Eyre|Delia Owens|1984|Fiction|Adventure|425|1|2026-02-15|||
Life of Pi|CS Lewis|2011|Non-Fiction|History|426|0|2025-10-25|Edward Norton|2026-04-22|2026-04-29
Moby Dick|Sally Rooney|1988|Fiction|Horror|427|1|2025-09-09|||
The Little Prince|Aldous Huxley|2014|Non-Fiction|Philosophy|428|0|2025-06-24|Fiona Gallagher|2026-05-12|2026-05-19
The Blade Itself|Tara Westover|1941|Non-Fiction|Economics|429|0|2026-04-24|George Costanza|2026-04-24|2026-05-01
The Kite Runner|Sally Rooney|1913|Non-Fiction|Other|430|1|2026-04-22|||
Oryx and Crake|JRR Tolkien|1901|Fiction|Adventure|431|1|2025-07-11|||
Moby Dick|George Orwell|2013|Fiction|Thriller|432|0|2025-09-30|Diana Prince|2026-05-12|2026-05-19
The Iliad|Madeline Miller|2024|Fiction|Mystery|433|1|2025-07-25|||
Blood Meridian|Markus Zusak|1949|Fiction|Dystopian|434|1|2025-08-16|||
For Whom the Bell Tolls|Joe Abercrombie|1954|Non-Fiction|History|435|0|2026-01-24|Edward Norton|2026-05-12|2026-05-19
Brave New World|Donna Tartt|1922|Non-Fiction|Politics|436|1|2026-03-23|||
The Girl with the Dragon Tattoo|Margaret Atwood|1985|Fiction|Drama|437|1|2025-08-03|||
Malibu Rising|Ursula K Le Guin|1991|Non-Fiction|Autobiography|438|1|2026-04-11|||
Moby Dick|JD Salinger|1960|Non-Fiction|Technology|439|1|2026-01-18|||
The Chronicles of Narnia|Ray Bradbury|2019|Non-Fiction|Autobiography|440|1|2025-11-23|||
The Kite Runner|Jane Austen|1942|Fiction|SciFi|441|1|2025-09-12|||
Where the Crawdads Sing|Liane Moriarty|1954|Non-Fiction|Economics|442|1|2025-06-29|||
No Country for Old Men|Homer|1932|Non-Fiction|Politics|443|1|2026-05-11|||
Hamilton|Frank Herbert|2009|Non-Fiction|History|444|0|2026-02-14|Fiona Gallagher|2026-05-12|2026-05-19
A Farewell to Arms|Yann Martel|1995|Fiction|HistoricalFiction|445|0|2026-04-13|George Costanza|2026-05-12|2026-05-19
The Little Prince|Antoine de Saint-Exupery|2003|Fiction|YoungAdult|446|0|2025-05-16|Alice Smith|2026-05-12|2026-05-19
Origin|Stieg Larsson|1901|Fiction|YoungAdult|447|0|2026-02-09|Charlie Brown|2026-05-12|2026-05-19
The Girl with the Dragon Tattoo|Delia Owens|2014|Fiction|SciFi|448|1|2025-07-06|||
Oryx and Crake|Ray Bradbury|1982|Fiction|Adventure|449|0|2025-12-05|Alice Smith|2026-05-12|2026-05-19
A Little Life|Sally Rooney|1999|Fiction|Horror|450|0|2026-04-23|Fiona Gallagher|2026-05-12|2026-05-19
The Silent Patient|Taylor Jenkins Reid|1973|Non-Fiction|Philosophy|451|0|2025-11-09|Alice Smith|2026-05-12|2026-05-19
The Left Hand of Darkness|Patrick Rothfuss|2019|Non-Fiction|TrueCrime|452|1|2025-10-09|||
To Kill a Mockingbird|Alex Michaelides|1952|Non-Fiction|Education|453|0|2025-10-08|Bob Jones|2026-05-12|2026-05-19
Wild|Tara Westover|1993|Fiction|Other|454|1|2025-11-18|||
Anna Karenina|Barbara Kingsolver|1938|Non-Fiction|Health|455|1|2025-07-03|||
Anansi Boys|Cormac McCarthy|1971|Non-Fiction|Autobiography|456|1|2025-09-29|||
The Left Hand of Darkness|Fyodor Dostoevsky|2018|Non-Fiction|Economics|457|1|2025-11-07|||
The Road|Delia Owens|1982|Fiction|Dystopian|458|0|2025-11-05|Fiona Gallagher|2026-05-12|2026-05-19
Wild|Walter Isaacson|1999|Non-Fiction|Health|459|1|2025-08-17|||
Dark Places|JD Salinger|2007|Fiction|SciFi|460|1|2025-12-26|||
Animal Farm|Walter Isaacson|1956|Non-Fiction|Philosophy|461|1|2026-01-28|||
Good Omens|Jane Austen|1903|Non-Fiction|Other|462|0|2025-10-12|George Costanza|2026-05-12|2026-05-19
Moby Dick|Kurt Vonnegut|1978|Fiction|Mystery|463|1|2026-01-30|||
The Blade Itself|James Clear|1977|Fiction|Mystery|464|1|2026-02-13|||
Great Expectations|Gillian Flynn|2012|Non-Fiction|Technology|465|1|2025-12-14|||
The Way of Kings|Paulo Coelho|1999|Fiction|SliceOfLife|466|1|2026-02-21|||
A Little Life|CS Lewis|1989|Fiction|HistoricalFiction|467|1|2026-03-07|||
Educated|Ursula K Le Guin|1946|Non-Fiction|Health|468|1|2025-08-26|||
Malibu Rising|Emily Bronte|1901|Non-Fiction|Memoir|469|0|2025-10-05|Alice Smith|2026-04-22|2026-04-29
Mistborn|Frank Herbert|1910|Non-Fiction|Memoir|470|1|2026-05-03|||
Anansi Boys|F. Scott Fitzgerald|1998|Non-Fiction|Religion|471|0|2025-07-07|Alice Smith|2026-05-12|2026-05-19
The Sirens of Titan|Cormac McCarthy|1931|Fiction|HistoricalFiction|472|1|2025-10-01|||
The Paris Apartment|Yann Martel|1932|Non-Fiction|Psychology|473|0|2026-05-04|Alice Smith|2026-05-04|2026-05-11
The Left Hand of Darkness|Harper Lee|1942|Fiction|Thriller|474|1|2026-03-26|||
Artemis|Yuval Noah Harari|2006|Fiction|Thriller|475|0|2025-11-15|Alice Smith|2026-04-22|2026-04-29
Anansi Boys|Tara Westover|1999|Non-Fiction|Education|476|1|2026-04-16|||
The Way of Kings|Dan Brown|1905|Fiction|Drama|477|1|2025-08-31|||
The Girl with the Dragon Tattoo|Joe Abercrombie|1976|Non-Fiction|Health|478|1|2026-01-07|||
The Road|Charlotte Bronte|1930|Fiction|HistoricalFiction|479|1|2026-03-18|||
Life of Pi|Gillian Flynn|1996|Fiction|Drama|480|1|2026-02-01|||
The Secret History|Dan Brown|2004|Fiction|Action|481|0|2026-01-30|Charlie Brown|2026-05-12|2026-05-19
The Maidens|Ursula K Le Guin|1966|Non-Fiction|Education|482|1|2026-05-02|||
The Alchemist|Frank Herbert|2017|Non-Fiction|Health|483|1|2026-01-06|||
Wuthering Heights|Taylor Jenkins Reid|1995|Non-Fiction|Philosophy|484|1|2026-04-16|||
The Iliad|Herman Melville|2023|Fiction|Mystery|485|1|2025-10-23|||
The Hobbit|George RR Martin|1954|Fiction|SliceOfLife|486|0|2025-07-06|Edward Norton|2026-05-12|2026-05-19
The Sun Also Rises|Donna Tartt|2001|Fiction|Action|487|1|2026-04-07|||
The Alchemist|Herman Melville|2011|Non-Fiction|Economics|488|1|2026-02-03|||
Foundation|Liane Moriarty|1942|Non-Fiction|Autobiography|489|1|2026-04-28|||
The Martian|Leo Tolstoy|1975|Fiction|Horror|490|0|2025-08-02|George Costanza|2026-05-12|2026-05-19
The Glass Castle|Sally Rooney|1952|Non-Fiction|History|491|0|2025-11-09|Edward Norton|2026-05-12|2026-05-19
Great Expectations|Fyodor Dostoevsky|2020|Non-Fiction|Biography|492|1|2025-09-15|||
The Girl with the Dragon Tattoo|Gillian Flynn|1901|Fiction|Action|493|0|2025-07-22|Fiona Gallagher|2026-05-12|2026-05-19
Good Omens|Tara Westover|1978|Fiction|Thriller|494|0|2026-04-07|Alice Smith|2026-05-12|2026-05-19
American Gods|Ernest Hemingway|2010|Fiction|Romance|495|0|2025-10-01|Fiona Gallagher|2026-05-12|2026-05-19
Jane Eyre|George Orwell|1915|Non-Fiction|Memoir|496|0|2025-05-20|George Costanza|2026-05-12|2026-05-19
The Grapes of Wrath|Ernest Hemingway|1914|Fiction|Action|497|1|2025-07-24|||
The Hunting Party|Jane Austen|1964|Fiction|Crime|498|1|2025-09-18|||
The Blade Itself|George RR Martin|1933|Fiction|YoungAdult|499|1|2025-11-18|||
The Secret History|Frank Herbert|1910|Non-Fiction|Science|500|1|2025-12-06|||
A Farewell to Arms|George RR Martin|1966|Non-Fiction|Education|501|1|2025-11-11|||
The Grapes of Wrath|Ernest Hemingway|2017|Fiction|SciFi|502|0|2025-09-25|Alice Smith|2026-05-12|2026-05-19
Gone Girl|Alex Michaelides|1993|Fiction|YoungAdult|503|0|2026-04-17|Charlie Brown|2026-05-12|2026-05-19
The Martian|John Steinbeck|2023|Non-Fiction|Memoir|504|1|2026-03-24|||
Hamilton|Andy Weir|1908|Non-Fiction|Politics|505|0|2026-02-21|Charlie Brown|2026-05-12|2026-05-19
The Poisonwood Bible|Carl Sagan|2004|Fiction|Other|506|0|2026-04-05|Charlie Brown|2026-05-12|2026-05-19
The Alchemist|Dan Brown|1977|Fiction|Mystery|507|0|2025-08-07|George Costanza|2026-05-12|2026-05-19
The Glass Castle|Isaac Asimov|1902|Fiction|SciFi|508|1|2026-02-12|||
Foundation|Paulo Coelho|1941|Fiction|SciFi|509|0|2026-05-11|Diana Prince|2026-05-12|2026-05-19
The Silent Patient|F. Scott Fitzgerald|1905|Non-Fiction|Autobiography|510|1|2026-03-27|||
The Seven Husbands of Evelyn Hugo|Antoine de Saint-Exupery|2018|Non-Fiction|Science|511|1|2025-05-20|||
Angels and Demons|Walter Isaacson|1921|Non-Fiction|Travel|512|0|2025-08-21|George Costanza|2026-05-12|2026-05-19
The Starless Sea|Hanya Yanagihara|2020|Non-Fiction|Education|513|1|2025-09-28|||
The Starless Sea|Neil Gaiman|1980|Non-Fiction|Economics|514|0|2026-03-08|Fiona Gallagher|2026-05-12|2026-05-19
The Great Gatsby|Markus Zusak|1976|Non-Fiction|TrueCrime|515|0|2025-06-26|Bob Jones|2026-05-12|2026-05-19
Where the Crawdads Sing|George Orwell|2009|Non-Fiction|Politics|516|1|2025-05-26|||
The Iliad|Delia Owens|1921|Fiction|Romance|517|1|2025-08-22|||
Deep Work|Paulo Coelho|1978|Fiction|Horror|518|1|2025-12-09|||
The Paris Apartment|Margaret Atwood|1918|Fiction|Romance|519|1|2025-12-12|||
Great Expectations|Dan Brown|2007|Fiction|Mystery|520|1|2026-03-22|||
The Girl with the Dragon Tattoo|Frank Herbert|1988|Fiction|Crime|521|0|2025-06-10|George Costanza|2026-04-22|2026-04-29
The Goldfinch|Walter Isaacson|1939|Fiction|SciFi|522|0|2026-03-08|Alice Smith|2026-05-12|2026-05-19
The Paris Apartment|Antoine de Saint-Exupery|1939|Non-Fiction|Health|523|1|2025-10-18|||
Good Omens|Neil Gaiman|2012|Non-Fiction|Politics|524|0|2025-08-23|Diana Prince|2026-05-12|2026-05-19
Elon Musk|Yuval Noah Harari|2021|Fiction|Mystery|525|1|2026-03-07|||
Steve Jobs|Frank Herbert|2007|Fiction|HistoricalFiction|526|1|2025-07-25|||
The Book Thief|Richard Powers|1918|Non-Fiction|Travel|527|1|2026-01-07|||
Brave New World|Homer|1994|Non-Fiction|History|528|1|2025-11-21|||
The Kite Runner|Dan Brown|1993|Non-Fiction|Autobiography|529|0|2025-10-25|Edward Norton|2026-05-12|2026-05-19
The Martian|Leo Tolstoy|1910|Non-Fiction|Memoir|530|1|2026-03-18|||
Good Omens|JD Salinger|1980|Fiction|YoungAdult|531|0|2025-10-22|Fiona Gallagher|2026-05-12|2026-05-19
Quiet|Andy Weir|2014|Non-Fiction|Economics|532|0|2025-12-19|Bob Jones|2026-05-12|2026-05-19
For Whom the Bell Tolls|Andy Weir|1902|Non-Fiction|Philosophy|533|1|2025-07-26|||
Breakfast of Champions|Kurt Vonnegut|1905|Fiction|Adventure|534|0|2025-06-25|Fiona Gallagher|2026-05-12|2026-05-19
A Game of Thrones|Brandon Sanderson|1994|Fiction|Crime|535|1|2025-05-22|||
Oryx and Crake|Emily Bronte|1975|Fiction|SliceOfLife|536|1|2025-06-15|||
The Night Circus|Carl Sagan|1931|Fiction|Action|537|1|2026-03-08|||
The Starless Sea|William Gibson|2008|Non-Fiction|Autobiography|538|0|2025-10-10|Bob Jones|2026-05-12|2026-05-19
Cats Cradle|Delia Owens|1900|Non-Fiction|Technology|539|1|2026-04-04|||
